"Date","Price","Open","High","Low","Vol.","Change %"
"22-01-2025","2,376.55","2,399.00","2,399.00","2,325.15","1.15M","-0.33%"
"21-01-2025","2,384.30","2,441.75","2,441.75","2,373.65","1.21M","-2.39%"
"20-01-2025","2,442.80","2,413.75","2,454.00","2,390.00","1.04M","1.79%"
"17-01-2025","2,399.80","2,450.00","2,450.00","2,380.05","1.12M","-1.16%"
"16-01-2025","2,427.85","2,500.00","2,570.00","2,418.85","2.84M","1.66%"
"15-01-2025","2,388.15","2,399.00","2,421.95","2,372.65","1.42M","0.32%"
"14-01-2025","2,380.55","2,241.50","2,422.90","2,241.50","4.12M","6.98%"
"13-01-2025","2,225.15","2,365.00","2,365.00","2,216.90","1.56M","-6.29%"
"10-01-2025","2,374.40","2,480.00","2,484.60","2,368.25","1.42M","-4.18%"
"09-01-2025","2,477.90","2,517.00","2,517.55","2,469.50","705.84K","-1.48%"
"08-01-2025","2,515.25","2,520.55","2,530.00","2,490.00","879.64K","-0.21%"
"07-01-2025","2,520.55","2,474.65","2,525.00","2,474.65","1.02M","1.86%"
"06-01-2025","2,474.45","2,557.65","2,568.85","2,463.50","1.12M","-3.52%"
"03-01-2025","2,564.60","2,580.00","2,619.00","2,556.60","932.80K","-1.27%"
"02-01-2025","2,597.70","2,565.70","2,602.00","2,537.00","1.17M","1.68%"
"01-01-2025","2,554.85","2,536.00","2,644.20","2,518.25","2.88M","1.04%"
"31-12-2024","2,528.65","2,575.00","2,577.75","2,507.45","2.75M","-2.46%"
"30-12-2024","2,592.35","2,425.00","2,610.00","2,421.95","7.83M","7.57%"
"27-12-2024","2,409.95","2,415.00","2,446.15","2,390.50","1.98M","0.40%"
"26-12-2024","2,400.25","2,378.05","2,410.00","2,368.00","895.79K","1.17%"
"24-12-2024","2,372.45","2,355.20","2,412.90","2,340.00","1.16M","1.43%"
"23-12-2024","2,338.95","2,373.95","2,379.50","2,332.75","758.92K","-0.26%"
